animal_name	order
skunk	carnivora
redfox	carnivora
fox	carnivora
bobcat	carnivora
harborseal	carnivora
raccoon	carnivora
blackbear	carnivora
stripedskunk	carnivora
cat	carnivora
vulpesvulpes	carnivora
coyote	carnivora
greyseal	carnivora
wildmink	carnivora
virginiaopossum	didelphimorphia
bottlenosedolphin	artiodactyl
dolphin	artiodactyl
dairycattle	artiodactyl
goat	artiodactyl
lesserscaup	anseriformes
greattailedgrackle	passeriformes
americanraven	passeriformes
commongrackle	passeriformes
brownpelican	pelecaniformes
snowyegret	pelecaniformes
osprey	accipitriformes
turkeyvulture	accipitriformes
coopershawk	accipitriformes
